/opt/miniconda3/envs/alon_env/lib/python3.9/site-packages/transformers/utils/generic.py:260: UserWarning: torch.utils._pytree._register_pytree_node is deprecated. Please use torch.utils._pytree.register_pytree_node instead.
  torch.utils._pytree._register_pytree_node(
##### CONTINUE TRAINING #####


## TEST RESULTS: ##
Test Loss: 0.22017294755622524		 Test MAE: 0.022717510163784028
             Algebraic dist: 15.656196925951088		 Val Algebraic dist: 16.70870081583659
             Algebraic sqr dist: 698.9428781702899	  Val Algebraic sqr dist: 769.3072102864584
             RE1 dist: 349.4714673913044		 Val RE1 dist: 384.6536458333333
             SED dist: 3332.005661231884		 Val SED dist: 3402.4645182291665


Epoch 16/1500: Training Loss: 289.1443897192029		 Val Loss: 309.60951741536456
             Training MAE: 0.3512302339076996		 Val MAE: 0.3508538007736206
             Algebraic dist: 14.102353303328805		 Val Algebraic dist: 13.075218200683594
             Algebraic sqr dist: 547.2486413043479	  Val Algebraic sqr dist: 473.8701578776042
             RE1 dist: 273.62432065217394		 Val RE1 dist: 236.9350789388021
             SED dist: 2886.9245923913045		 Val SED dist: 3091.5777994791665


Epoch 17/1500: Training Loss: 280.967872509058		 Val Loss: 312.4352213541667
             Training MAE: 0.35055848956108093		 Val MAE: 0.3503096103668213
             Algebraic dist: 13.223946833956068		 Val Algebraic dist: 14.444644927978516
             Algebraic sqr dist: 485.99377264492756	  Val Algebraic sqr dist: 567.4744466145834
             RE1 dist: 242.99688632246378		 Val RE1 dist: 283.7372233072917
             SED dist: 2805.192481884058		 Val SED dist: 3119.8922526041665


Epoch 18/1500: Training Loss: 277.4461616847826		 Val Loss: 310.341796875
             Training MAE: 0.3502503037452698		 Val MAE: 0.3496275842189789
             Algebraic dist: 13.46458545629529		 Val Algebraic dist: 14.529855092366537
             Algebraic sqr dist: 505.3893795289855	  Val Algebraic sqr dist: 577.2867431640625
             RE1 dist: 252.6947180706522		 Val RE1 dist: 288.64337158203125
             SED dist: 2769.9909420289855		 Val SED dist: 3098.9651692708335


Epoch 19/1500: Training Loss: 275.62035778985506		 Val Loss: 297.26857503255206
             Training MAE: 0.34892234206199646		 Val MAE: 0.3493921756744385
             Algebraic dist: 13.95497463060462		 Val Algebraic dist: 14.359015146891275
             Algebraic sqr dist: 535.4480865036232	  Val Algebraic sqr dist: 570.216552734375
             RE1 dist: 267.7240432518116		 Val RE1 dist: 285.1083170572917
             SED dist: 2751.7778532608695		 Val SED dist: 2968.255859375


Epoch 20/1500: Training Loss: 275.8044610507246		 Val Loss: 287.4744059244792
             Training MAE: 0.3498592972755432		 Val MAE: 0.3497346043586731
             Algebraic dist: 13.876576299252717		 Val Algebraic dist: 14.483734130859375
             Algebraic sqr dist: 536.8429008152174	  Val Algebraic sqr dist: 592.5443929036459
             RE1 dist: 268.4214504076087		 Val RE1 dist: 296.27219645182294
             SED dist: 2753.5971467391305		 Val SED dist: 2870.2906901041665


Epoch 21/1500: Training Loss: 275.1109318387681		 Val Loss: 284.45408121744794
             Training MAE: 0.34913989901542664		 Val MAE: 0.34643054008483887
             Algebraic dist: 14.860871688179348		 Val Algebraic dist: 16.306238810221355
             Algebraic sqr dist: 618.9120810688406	  Val Algebraic sqr dist: 714.9340006510416
             RE1 dist: 309.4560688405797		 Val RE1 dist: 357.4670003255208
             SED dist: 2746.683650362319		 Val SED dist: 2840.189453125


Epoch 22/1500: Training Loss: 272.57620018115944		 Val Loss: 304.5885416666667
             Training MAE: 0.347144216299057		 Val MAE: 0.34758618474006653
             Algebraic dist: 17.18798297384511		 Val Algebraic dist: 19.867125193277996
             Algebraic sqr dist: 785.8001585144928	  Val Algebraic sqr dist: 1025.4027506510417
             RE1 dist: 392.9000792572464		 Val RE1 dist: 512.7013753255209
             SED dist: 2721.4116847826085		 Val SED dist: 3041.5397135416665


Epoch 23/1500: Training Loss: 270.1004302536232		 Val Loss: 288.83249918619794
             Training MAE: 0.3490886092185974		 Val MAE: 0.3497958779335022
             Algebraic dist: 17.79816646852355		 Val Algebraic dist: 19.20571772257487
             Algebraic sqr dist: 848.1245471014493	  Val Algebraic sqr dist: 1007.82177734375
             RE1 dist: 424.0622735507246		 Val RE1 dist: 503.9109293619792
             SED dist: 2696.6102807971015		 Val SED dist: 2883.912109375


Epoch 24/1500: Training Loss: 272.18563179347825		 Val Loss: 291.5372721354167
             Training MAE: 0.35113072395324707		 Val MAE: 0.35216283798217773
             Algebraic dist: 19.190187316009965		 Val Algebraic dist: 19.83637873331706
             Algebraic sqr dist: 986.364696557971	  Val Algebraic sqr dist: 1047.8658040364583
             RE1 dist: 493.1824048913044		 Val RE1 dist: 523.9329427083334
             SED dist: 2717.401721014493		 Val SED dist: 2910.8802083333335


Epoch 25/1500: Training Loss: 267.75127377717394		 Val Loss: 283.164794921875
             Training MAE: 0.3527589440345764		 Val MAE: 0.3532901406288147
             Algebraic dist: 19.474091018455617		 Val Algebraic dist: 21.449785868326824
             Algebraic sqr dist: 1024.3035552536232	  Val Algebraic sqr dist: 1221.5953776041667
             RE1 dist: 512.1517776268116		 Val RE1 dist: 610.7976888020834
             SED dist: 2673.001132246377		 Val SED dist: 2827.1181640625


Epoch 26/1500: Training Loss: 354.2088145380435		 Val Loss: 640.3544108072916
             Training MAE: 0.32615113258361816		 Val MAE: 0.18038326501846313
             Algebraic dist: 26.02424953294837		 Val Algebraic dist: 36.52226257324219
             Algebraic sqr dist: 2184.608695652174	  Val Algebraic sqr dist: 3307.056640625
             RE1 dist: 1092.304347826087		 Val RE1 dist: 1653.5283203125
             SED dist: 3538.0133605072465		 Val SED dist: 6401.78515625


Epoch 27/1500: Training Loss: 446.1803385416667		 Val Loss: 218.8995157877604
             Training MAE: 0.24157801270484924		 Val MAE: 0.20719248056411743
             Algebraic dist: 56.75599736752717		 Val Algebraic dist: 33.157989501953125
             Algebraic sqr dist: 8757.27536231884	  Val Algebraic sqr dist: 2403.2477213541665
             RE1 dist: 4378.63722826087		 Val RE1 dist: 1201.6239420572917
             SED dist: 4459.503170289855		 Val SED dist: 2187.1227213541665


Epoch 28/1500: Training Loss: 203.78747735507247		 Val Loss: 177.28763834635416
             Training MAE: 0.18492121994495392		 Val MAE: 0.17580145597457886
             Algebraic dist: 31.70967079936594		 Val Algebraic dist: 32.556050618489586
             Algebraic sqr dist: 1904.1166213768115	  Val Algebraic sqr dist: 1970.9049479166667
             RE1 dist: 952.0583106884058		 Val RE1 dist: 985.4524739583334
             SED dist: 2036.3632246376812		 Val SED dist: 1771.59326171875


Epoch 29/1500: Training Loss: 125.66495414402173		 Val Loss: 73.40803527832031
             Training MAE: 0.16711562871932983		 Val MAE: 0.15689074993133545
             Algebraic dist: 32.31219924705616		 Val Algebraic dist: 32.28302001953125
             Algebraic sqr dist: 1902.3854166666667	  Val Algebraic sqr dist: 1933.6824544270833
             RE1 dist: 951.1927083333334		 Val RE1 dist: 966.8412272135416
             SED dist: 1255.4879981884058		 Val SED dist: 733.0187174479166


Epoch 30/1500: Training Loss: 42.160941745923914		 Val Loss: 26.32934824625651
             Training MAE: 0.1509278416633606		 Val MAE: 0.14572679996490479
             Algebraic dist: 29.34068408910779		 Val Algebraic dist: 30.58787790934245
             Algebraic sqr dist: 1586.4738451086957	  Val Algebraic sqr dist: 1809.9754231770833
             RE1 dist: 793.2369225543479		 Val RE1 dist: 904.98779296875
             SED dist: 420.5791440217391		 Val SED dist: 262.27170817057294


Epoch 31/1500: Training Loss: 15.202277584352355		 Val Loss: 9.79628817240397
             Training MAE: 0.15344280004501343		 Val MAE: 0.16786989569664001
             Algebraic dist: 24.033167742300726		 Val Algebraic dist: 23.36364237467448
             Algebraic sqr dist: 1124.0247961956522	  Val Algebraic sqr dist: 1073.840087890625
             RE1 dist: 562.0123980978261		 Val RE1 dist: 536.9200439453125
             SED dist: 150.9582908740942		 Val SED dist: 96.831787109375


Epoch 32/1500: Training Loss: 4.494832356770833		 Val Loss: 2.043323040008545
             Training MAE: 0.1833261102437973		 Val MAE: 0.1952257752418518
             Algebraic dist: 17.49075980808424		 Val Algebraic dist: 17.445518493652344
             Algebraic sqr dist: 629.0631793478261	  Val Algebraic sqr dist: 558.6800130208334
             RE1 dist: 314.53158967391306		 Val RE1 dist: 279.3400065104167
             SED dist: 43.65577941009964		 Val SED dist: 18.937679290771484


Epoch 33/1500: Training Loss: 1.0746217810589334		 Val Loss: 1.0149494012196858
             Training MAE: 0.2039402425289154		 Val MAE: 0.2124047577381134
             Algebraic dist: 15.098875183990037		 Val Algebraic dist: 20.544879913330078
             Algebraic sqr dist: 516.0568953804348	  Val Algebraic sqr dist: 913.1122233072916
             RE1 dist: 258.02850430253625		 Val RE1 dist: 456.5561116536458
             SED dist: 9.13935299196105		 Val SED dist: 8.495418548583984


Epoch 34/1500: Training Loss: 0.7326497064120527		 Val Loss: 0.868224302927653
             Training MAE: 0.21681462228298187		 Val MAE: 0.21649016439914703
             Algebraic dist: 18.95698879076087		 Val Algebraic dist: 25.50048065185547
             Algebraic sqr dist: 850.7246376811594	  Val Algebraic sqr dist: 1318.5879720052083
             RE1 dist: 425.3623188405797		 Val RE1 dist: 659.2939860026041
             SED dist: 5.666780333588089		 Val SED dist: 7.064456303914388


Epoch 35/1500: Training Loss: 0.6842274320298347		 Val Loss: 0.798646608988444
             Training MAE: 0.21795493364334106		 Val MAE: 0.21835871040821075
             Algebraic dist: 24.525760374207426		 Val Algebraic dist: 32.438618977864586
             Algebraic sqr dist: 1434.7076539855072	  Val Algebraic sqr dist: 2153.6741536458335
             RE1 dist: 717.3538836050725		 Val RE1 dist: 1076.837158203125
             SED dist: 5.252992049507473		 Val SED dist: 6.441924413045247


Epoch 36/1500: Training Loss: 0.65669720414756		 Val Loss: 0.7703575293223063
             Training MAE: 0.21840547025203705		 Val MAE: 0.2126421332359314
             Algebraic dist: 29.94676319067029		 Val Algebraic dist: 38.172035217285156
             Algebraic sqr dist: 2122.5520833333335	  Val Algebraic sqr dist: 3331.234375
             RE1 dist: 1061.2760416666667		 Val RE1 dist: 1665.6171875
             SED dist: 5.0590484176856885		 Val SED dist: 6.303805669148763


Epoch 37/1500: Training Loss: 0.6336882218070652		 Val Loss: 0.7255000273386637
             Training MAE: 0.21194538474082947		 Val MAE: 0.21216748654842377
             Algebraic dist: 37.430975430253625		 Val Algebraic dist: 47.12556457519531
             Algebraic sqr dist: 3424.2398097826085	  Val Algebraic sqr dist: 4981.887369791667
             RE1 dist: 1712.120018115942		 Val RE1 dist: 2490.9436848958335
             SED dist: 4.996953991876132		 Val SED dist: 5.97250493367513


Epoch 38/1500: Training Loss: 0.610681174457937		 Val Loss: 0.6912674109141032
             Training MAE: 0.2071322202682495		 Val MAE: 0.2051558792591095
             Algebraic dist: 46.718912760416664		 Val Algebraic dist: 60.01085408528646
             Algebraic sqr dist: 5365.8125	  Val Algebraic sqr dist: 8518.378255208334
             RE1 dist: 2682.90625		 Val RE1 dist: 4259.189127604167
             SED dist: 4.921590611554574		 Val SED dist: 5.800025939941406


Epoch 39/1500: Training Loss: 0.6152510712112206		 Val Loss: 0.671565055847168
             Training MAE: 0.1969512552022934		 Val MAE: 0.19191347062587738
             Algebraic dist: 58.489197661911234		 Val Algebraic dist: 71.30862426757812
             Algebraic sqr dist: 8403.11231884058	  Val Algebraic sqr dist: 12532.841145833334
             RE1 dist: 4201.55615942029		 Val RE1 dist: 6266.421223958333
             SED dist: 5.124766474184782		 Val SED dist: 5.732842127482097


Epoch 40/1500: Training Loss: 0.5977291715317878		 Val Loss: 0.6548474232355753
             Training MAE: 0.18609508872032166		 Val MAE: 0.17878271639347076
             Algebraic dist: 64.54846722146739		 Val Algebraic dist: 72.24307759602864
             Algebraic sqr dist: 10216.795289855072	  Val Algebraic sqr dist: 12937.026041666666
             RE1 dist: 5108.397644927536		 Val RE1 dist: 6468.513671875
             SED dist: 5.041530000990716		 Val SED dist: 5.668001174926758


Epoch 41/1500: Training Loss: 0.5922059321749038		 Val Loss: 0.6407080094019572
             Training MAE: 0.1780499666929245		 Val MAE: 0.17228251695632935
             Algebraic dist: 65.59037449048913		 Val Algebraic dist: 71.73304239908855
             Algebraic sqr dist: 10466.697463768116	  Val Algebraic sqr dist: 12025.016927083334
             RE1 dist: 5233.348731884058		 Val RE1 dist: 6012.508463541667
             SED dist: 5.048291192538496		 Val SED dist: 5.570275624593099


Epoch 42/1500: Training Loss: 0.5854202491649683		 Val Loss: 0.6471091508865356
             Training MAE: 0.17346782982349396		 Val MAE: 0.16757680475711823
             Algebraic dist: 64.96969825634058		 Val Algebraic dist: 71.03506978352864
             Algebraic sqr dist: 10242.51268115942	  Val Algebraic sqr dist: 11652.149739583334
             RE1 dist: 5121.25634057971		 Val RE1 dist: 5826.074869791667
             SED dist: 5.019720989724864		 Val SED dist: 5.673824946085612


Epoch 43/1500: Training Loss: 0.5744062230206918		 Val Loss: 0.6534633239110311
             Training MAE: 0.16946688294410706		 Val MAE: 0.15989239513874054
             Algebraic dist: 65.10256736865942		 Val Algebraic dist: 73.27390034993489
             Algebraic sqr dist: 10217.46286231884	  Val Algebraic sqr dist: 13052.19921875
             RE1 dist: 5108.73143115942		 Val RE1 dist: 6526.099609375
             SED dist: 4.940634464872057		 Val SED dist: 5.784780502319336


Epoch 44/1500: Training Loss: 0.5824369900468467		 Val Loss: 0.621915340423584
             Training MAE: 0.16426828503608704		 Val MAE: 0.163299098610878
             Algebraic dist: 64.2976604959239		 Val Algebraic dist: 69.42481486002605
             Algebraic sqr dist: 10114.753623188406	  Val Algebraic sqr dist: 11218.022135416666
             RE1 dist: 5057.376811594203		 Val RE1 dist: 5609.011067708333
             SED dist: 5.05936376599298		 Val SED dist: 5.46034304300944


Epoch 45/1500: Training Loss: 0.5811466272326483		 Val Loss: 0.6521249612172445
             Training MAE: 0.16121019423007965		 Val MAE: 0.15677672624588013
             Algebraic dist: 64.98522418478261		 Val Algebraic dist: 72.43362935384114
             Algebraic sqr dist: 10170.078804347826	  Val Algebraic sqr dist: 13003.841145833334
             RE1 dist: 5085.039402173913		 Val RE1 dist: 6501.920572916667
             SED dist: 5.0705557560575185		 Val SED dist: 5.805771509806315


Epoch 46/1500: Training Loss: 0.5739932958630548		 Val Loss: 0.6446207364400228
             Training MAE: 0.15830393135547638		 Val MAE: 0.14811944961547852
             Algebraic dist: 63.981261322463766		 Val Algebraic dist: 68.57210286458333
             Algebraic sqr dist: 9988.926630434782	  Val Algebraic sqr dist: 10144.124348958334
             RE1 dist: 4994.463315217391		 Val RE1 dist: 5072.062174479167
             SED dist: 5.023854131283968		 Val SED dist: 5.797025680541992


Epoch 47/1500: Training Loss: 0.5794558317764945		 Val Loss: 0.6229937871297201
             Training MAE: 0.15556956827640533		 Val MAE: 0.15291042625904083
             Algebraic dist: 64.25079257246377		 Val Algebraic dist: 68.71162414550781
             Algebraic sqr dist: 9984.29347826087	  Val Algebraic sqr dist: 11034.294270833334
             RE1 dist: 4992.146739130435		 Val RE1 dist: 5517.147135416667
             SED dist: 5.100203804347826		 Val SED dist: 5.546622594197591


Epoch 48/1500: Training Loss: 0.5674378768257473		 Val Loss: 0.6406909624735514
             Training MAE: 0.15261007845401764		 Val MAE: 0.14611516892910004
             Algebraic dist: 62.39966174139493		 Val Algebraic dist: 69.59059651692708
             Algebraic sqr dist: 9337.359601449276	  Val Algebraic sqr dist: 12035.065104166666
             RE1 dist: 4668.679800724638		 Val RE1 dist: 6017.532552083333
             SED dist: 5.004341014917346		 Val SED dist: 5.767084121704102


Epoch 49/1500: Training Loss: 0.5729324230249377		 Val Loss: 0.6459591388702393
             Training MAE: 0.14908915758132935		 Val MAE: 0.13921040296554565
             Algebraic dist: 62.66613592617754		 Val Algebraic dist: 69.93606567382812
             Algebraic sqr dist: 9541.352355072464	  Val Algebraic sqr dist: 12105.20703125
             RE1 dist: 4770.676177536232		 Val RE1 dist: 6052.603515625
             SED dist: 5.082746865092844		 Val SED dist: 5.859764734903972


Epoch 50/1500: Training Loss: 0.5649873484735903		 Val Loss: 0.606928825378418
             Training MAE: 0.14723366498947144		 Val MAE: 0.13998472690582275
             Algebraic dist: 62.0754783740942		 Val Algebraic dist: 67.17678833007812
             Algebraic sqr dist: 9350.29347826087	  Val Algebraic sqr dist: 10436.200520833334
             RE1 dist: 4675.146739130435		 Val RE1 dist: 5218.100260416667
             SED dist: 5.018223416978034		 Val SED dist: 5.469698588053386


Epoch 51/1500: Training Loss: 0.5654985731926517		 Val Loss: 0.6087745428085327
             Training MAE: 0.14461608231067657		 Val MAE: 0.1428038477897644
             Algebraic dist: 61.3132713428442		 Val Algebraic dist: 67.16654968261719
             Algebraic sqr dist: 9045.428442028986	  Val Algebraic sqr dist: 11237.028645833334
             RE1 dist: 4522.714221014493		 Val RE1 dist: 5618.514322916667
             SED dist: 5.0419139032778535		 Val SED dist: 5.486006418863933


Epoch 52/1500: Training Loss: 0.5499577729598336		 Val Loss: 0.6118789513905843
             Training MAE: 0.14197559654712677		 Val MAE: 0.14000272750854492
             Algebraic dist: 60.11452672101449		 Val Algebraic dist: 68.04929097493489
             Algebraic sqr dist: 8707.477355072464	  Val Algebraic sqr dist: 11165.122395833334
             RE1 dist: 4353.738677536232		 Val RE1 dist: 5582.561197916667
             SED dist: 4.905511386152627		 Val SED dist: 5.5305601755778


Epoch 53/1500: Training Loss: 0.563768856767295		 Val Loss: 0.6000581979751587
             Training MAE: 0.1393013298511505		 Val MAE: 0.1383710652589798
             Algebraic dist: 60.28205672554348		 Val Algebraic dist: 66.1627909342448
             Algebraic sqr dist: 8827.839673913044	  Val Algebraic sqr dist: 10734.727864583334
             RE1 dist: 4413.919836956522		 Val RE1 dist: 5367.363932291667
             SED dist: 5.060728211333786		 Val SED dist: 5.428342819213867


Epoch 54/1500: Training Loss: 0.5518462692481884		 Val Loss: 0.6261372963587443
             Training MAE: 0.13756826519966125		 Val MAE: 0.139574334025383
             Algebraic dist: 59.41169185914855		 Val Algebraic dist: 67.11167399088542
             Algebraic sqr dist: 8481.201086956522	  Val Algebraic sqr dist: 11485.94921875
             RE1 dist: 4240.600543478261		 Val RE1 dist: 5742.974609375
             SED dist: 4.954176308452219		 Val SED dist: 5.687751134236653


Epoch 55/1500: Training Loss: 0.5629883918209352		 Val Loss: 0.604759136835734
             Training MAE: 0.1357172727584839		 Val MAE: 0.12978990375995636
             Algebraic dist: 59.67359459918478		 Val Algebraic dist: 62.76197306315104
