nohup: ignoring input
/home/aviran/miniconda3/envs/alon_env/lib/python3.9/site-packages/transformers/utils/generic.py:260: FutureWarning: `torch.utils._pytree._register_pytree_node` is deprecated. Please use `torch.utils._pytree.register_pytree_node` instead.
  torch.utils._pytree._register_pytree_node(
/home/aviran/miniconda3/envs/alon_env/lib/python3.9/site-packages/huggingface_hub/file_download.py:1150: FutureWarning: `resume_download` is deprecated and will be removed in version 1.0.0. Downloads always resume when possible. If you want to force a new download, use `force_download=True`.
  warnings.warn(
/home/aviran/miniconda3/envs/alon_env/lib/python3.9/site-packages/transformers/modeling_utils.py:479: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
  return torch.load(checkpoint_file, map_location=map_location)
/home/aviran/Alon/Thesis/AffineRegressor.py:229: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
  checkpoint = torch.load(model_path, map_location='cpu')
###########################################################################################################################################################

                         learning rate: 6e-05,  mlp_hidden_sizes: [1024, 512], batch_size: 32, norm: True, alpha: 1, avg embeddings: False, 
Epoch 58/100: Training Loss: 0.0006578586374719938		 Val Loss: 0.0007040960341691971

			Training MAE Shift: 0.01941598951816559		 Val MAE Shift: 0.019956459999084474
            Training Euclidean Shift: 0.0		 Val Euclidean Shift: 0.0




Epoch 59/100: Training Loss: 0.0007634533103555441		 Val Loss: 0.0006326894462108612

			Training MAE Shift: 0.020653429130713146		 Val MAE Shift: 0.01708917737007141
            Training Euclidean Shift: 0.0		 Val Euclidean Shift: 0.0




Epoch 60/100: Training Loss: 0.000906309811398387		 Val Loss: 0.010040649175643922

			Training MAE Shift: 0.01978296786546707		 Val MAE Shift: 0.06770037174224854
            Training Euclidean Shift: 0.0		 Val Euclidean Shift: 0.0




Epoch 61/100: Training Loss: 0.003567684441804886		 Val Loss: 0.002569933831691742

			Training MAE Shift: 0.04378381868203481		 Val MAE Shift: 0.03825396060943603
            Training Euclidean Shift: 0.0		 Val Euclidean Shift: 0.0




Epoch 62/100: Training Loss: 0.001964292178551356		 Val Loss: 0.0019403265416622162

			Training MAE Shift: 0.03369152049223582		 Val MAE Shift: 0.03298829793930054
            Training Euclidean Shift: 0.0		 Val Euclidean Shift: 0.0




Epoch 63/100: Training Loss: 0.0016876982214550178		 Val Loss: 0.0010871054232120514

			Training MAE Shift: 0.030105262994766235		 Val MAE Shift: 0.02291213035583496
            Training Euclidean Shift: 0.0		 Val Euclidean Shift: 0.0




Epoch 64/100: Training Loss: 0.0016905028993884723		 Val Loss: 0.0012143202126026153

			Training MAE Shift: 0.028651023904482525		 Val MAE Shift: 0.02546894073486328
            Training Euclidean Shift: 0.0		 Val Euclidean Shift: 0.0




Epoch 65/100: Training Loss: 0.001280884724110365		 Val Loss: 0.0017726825177669526

			Training MAE Shift: 0.025822152694066364		 Val MAE Shift: 0.03179947853088379
            Training Euclidean Shift: 0.0		 Val Euclidean Shift: 0.0




Epoch 66/100: Training Loss: 0.0008388195807735125		 Val Loss: 0.0009664773195981979

			Training MAE Shift: 0.021225924293200176		 Val MAE Shift: 0.022179462909698487
            Training Euclidean Shift: 0.0		 Val Euclidean Shift: 0.0




Epoch 67/100: Training Loss: 0.0016670568535725276		 Val Loss: 0.0008852587640285492

			Training MAE Shift: 0.026497210065523785		 Val MAE Shift: 0.020009114742279052
            Training Euclidean Shift: 0.0		 Val Euclidean Shift: 0.0




Epoch 68/100: Training Loss: 0.0009684773006786903		 Val Loss: 0.000860092043876648

			Training MAE Shift: 0.021893322467803955		 Val MAE Shift: 0.02046267509460449
            Training Euclidean Shift: 0.0		 Val Euclidean Shift: 0.0




5. Nan in embeddings
tensor([[   nan,    nan,    nan,  ..., 4.0000, 4.2222, 4.4444],
        [   nan,    nan,    nan,  ..., 4.0000, 4.2222, 4.4444],
        [   nan,    nan,    nan,  ..., 4.0000, 4.2222, 4.4444],
        ...,
        [   nan,    nan,    nan,  ..., 4.0000, 4.2222, 4.4444],
        [   nan,    nan,    nan,  ..., 4.0000, 4.2222, 4.4444],
        [   nan,    nan,    nan,  ..., 4.0000, 4.2222, 4.4444]],
       device='cuda:0', grad_fn=<ViewBackward0>)
3. Nan in output
tensor([[   nan,    nan,    nan,  ..., 4.0000, 4.2222, 4.4444],
        [   nan,    nan,    nan,  ..., 4.0000, 4.2222, 4.4444],
        [   nan,    nan,    nan,  ..., 4.0000, 4.2222, 4.4444],
        ...,
        [   nan,    nan,    nan,  ..., 4.0000, 4.2222, 4.4444],
        [   nan,    nan,    nan,  ..., 4.0000, 4.2222, 4.4444],
        [   nan,    nan,    nan,  ..., 4.0000, 4.2222, 4.4444]],
       device='cuda:0', grad_fn=<ViewBackward0>)
4. Nan in output
1. Nan in x1_embeddings
5. Nan in embeddings
tensor([[   nan,    nan,    nan,  ..., 4.0000, 4.2222, 4.4444],
        [   nan,    nan,    nan,  ..., 4.0000, 4.2222, 4.4444],
        [   nan,    nan,    nan,  ..., 4.0000, 4.2222, 4.4444],
        ...,
        [   nan,    nan,    nan,  ..., 4.0000, 4.2222, 4.4444],
        [   nan,    nan,    nan,  ..., 4.0000, 4.2222, 4.4444],
        [   nan,    nan,    nan,  ..., 4.0000, 4.2222, 4.4444]],
       device='cuda:0', grad_fn=<ViewBackward0>)
3. Nan in output
tensor([[   nan,    nan,    nan,  ..., 4.0000, 4.2222, 4.4444],
        [   nan,    nan,    nan,  ..., 4.0000, 4.2222, 4.4444],
        [   nan,    nan,    nan,  ..., 4.0000, 4.2222, 4.4444],
        ...,
        [   nan,    nan,    nan,  ..., 4.0000, 4.2222, 4.4444],
        [   nan,    nan,    nan,  ..., 4.0000, 4.2222, 4.4444],
        [   nan,    nan,    nan,  ..., 4.0000, 4.2222, 4.4444]],
       device='cuda:0', grad_fn=<ViewBackward0>)
4. Nan in output
1. Nan in x1_embeddings
5. Nan in embeddings
tensor([[   nan,    nan,    nan,  ..., 4.0000, 4.2222, 4.4444],
        [   nan,    nan,    nan,  ..., 4.0000, 4.2222, 4.4444],
        [   nan,    nan,    nan,  ..., 4.0000, 4.2222, 4.4444],
        ...,
        [   nan,    nan,    nan,  ..., 4.0000, 4.2222, 4.4444],
        [   nan,    nan,    nan,  ..., 4.0000, 4.2222, 4.4444],
        [   nan,    nan,    nan,  ..., 4.0000, 4.2222, 4.4444]],
       device='cuda:0', grad_fn=<ViewBackward0>)
3. Nan in output
tensor([[   nan,    nan,    nan,  ..., 4.0000, 4.2222, 4.4444],
        [   nan,    nan,    nan,  ..., 4.0000, 4.2222, 4.4444],
        [   nan,    nan,    nan,  ..., 4.0000, 4.2222, 4.4444],
        ...,
        [   nan,    nan,    nan,  ..., 4.0000, 4.2222, 4.4444],
        [   nan,    nan,    nan,  ..., 4.0000, 4.2222, 4.4444],
        [   nan,    nan,    nan,  ..., 4.0000, 4.2222, 4.4444]],
       device='cuda:0', grad_fn=<ViewBackward0>)
4. Nan in output
1. Nan in x1_embeddings
5. Nan in embeddings
tensor([[   nan,    nan,    nan,  ..., 4.0000, 4.2222, 4.4444],
        [   nan,    nan,    nan,  ..., 4.0000, 4.2222, 4.4444],
        [   nan,    nan,    nan,  ..., 4.0000, 4.2222, 4.4444],
        ...,
        [   nan,    nan,    nan,  ..., 4.0000, 4.2222, 4.4444],
        [   nan,    nan,    nan,  ..., 4.0000, 4.2222, 4.4444],
        [   nan,    nan,    nan,  ..., 4.0000, 4.2222, 4.4444]],
       device='cuda:0', grad_fn=<ViewBackward0>)
3. Nan in output
tensor([[   nan,    nan,    nan,  ..., 4.0000, 4.2222, 4.4444],
        [   nan,    nan,    nan,  ..., 4.0000, 4.2222, 4.4444],
        [   nan,    nan,    nan,  ..., 4.0000, 4.2222, 4.4444],
        ...,
        [   nan,    nan,    nan,  ..., 4.0000, 4.2222, 4.4444],
        [   nan,    nan,    nan,  ..., 4.0000, 4.2222, 4.4444],
        [   nan,    nan,    nan,  ..., 4.0000, 4.2222, 4.4444]],
       device='cuda:0', grad_fn=<ViewBackward0>)
4. Nan in output
1. Nan in x1_embeddings
5. Nan in embeddings
tensor([[   nan,    nan,    nan,  ..., 4.0000, 4.2222, 4.4444],
        [   nan,    nan,    nan,  ..., 4.0000, 4.2222, 4.4444],
        [   nan,    nan,    nan,  ..., 4.0000, 4.2222, 4.4444],
        ...,
        [   nan,    nan,    nan,  ..., 4.0000, 4.2222, 4.4444],
        [   nan,    nan,    nan,  ..., 4.0000, 4.2222, 4.4444],
        [   nan,    nan,    nan,  ..., 4.0000, 4.2222, 4.4444]],
       device='cuda:0', grad_fn=<ViewBackward0>)
3. Nan in output
tensor([[   nan,    nan,    nan,  ..., 4.0000, 4.2222, 4.4444],
        [   nan,    nan,    nan,  ..., 4.0000, 4.2222, 4.4444],
        [   nan,    nan,    nan,  ..., 4.0000, 4.2222, 4.4444],
        ...,
        [   nan,    nan,    nan,  ..., 4.0000, 4.2222, 4.4444],
        [   nan,    nan,    nan,  ..., 4.0000, 4.2222, 4.4444],
        [   nan,    nan,    nan,  ..., 4.0000, 4.2222, 4.4444]],
       device='cuda:0', grad_fn=<ViewBackward0>)
4. Nan in output
1. Nan in x1_embeddings
5. Nan in embeddings
tensor([[   nan,    nan,    nan,  ..., 4.0000, 4.2222, 4.4444],
        [   nan,    nan,    nan,  ..., 4.0000, 4.2222, 4.4444],
        [   nan,    nan,    nan,  ..., 4.0000, 4.2222, 4.4444],
        ...,
        [   nan,    nan,    nan,  ..., 4.0000, 4.2222, 4.4444],
        [   nan,    nan,    nan,  ..., 4.0000, 4.2222, 4.4444],
        [   nan,    nan,    nan,  ..., 4.0000, 4.2222, 4.4444]],
       device='cuda:0', grad_fn=<ViewBackward0>)
3. Nan in output
tensor([[   nan,    nan,    nan,  ..., 4.0000, 4.2222, 4.4444],
        [   nan,    nan,    nan,  ..., 4.0000, 4.2222, 4.4444],
        [   nan,    nan,    nan,  ..., 4.0000, 4.2222, 4.4444],
        ...,
        [   nan,    nan,    nan,  ..., 4.0000, 4.2222, 4.4444],
        [   nan,    nan,    nan,  ..., 4.0000, 4.2222, 4.4444],
        [   nan,    nan,    nan,  ..., 4.0000, 4.2222, 4.4444]],
       device='cuda:0', grad_fn=<ViewBackward0>)
4. Nan in output
1. Nan in x1_embeddings
5. Nan in embeddings
tensor([[   nan,    nan,    nan,  ..., 4.0000, 4.2222, 4.4444],
        [   nan,    nan,    nan,  ..., 4.0000, 4.2222, 4.4444],
        [   nan,    nan,    nan,  ..., 4.0000, 4.2222, 4.4444],
        ...,
        [   nan,    nan,    nan,  ..., 4.0000, 4.2222, 4.4444],
        [   nan,    nan,    nan,  ..., 4.0000, 4.2222, 4.4444],
        [   nan,    nan,    nan,  ..., 4.0000, 4.2222, 4.4444]],
       device='cuda:0', grad_fn=<ViewBackward0>)
3. Nan in output
tensor([[   nan,    nan,    nan,  ..., 4.0000, 4.2222, 4.4444],
        [   nan,    nan,    nan,  ..., 4.0000, 4.2222, 4.4444],
        [   nan,    nan,    nan,  ..., 4.0000, 4.2222, 4.4444],
        ...,
        [   nan,    nan,    nan,  ..., 4.0000, 4.2222, 4.4444],
        [   nan,    nan,    nan,  ..., 4.0000, 4.2222, 4.4444],
        [   nan,    nan,    nan,  ..., 4.0000, 4.2222, 4.4444]],
       device='cuda:0', grad_fn=<ViewBackward0>)
4. Nan in output
1. Nan in x1_embeddings
5. Nan in embeddings
tensor([[   nan,    nan,    nan,  ..., 4.0000, 4.2222, 4.4444],
        [   nan,    nan,    nan,  ..., 4.0000, 4.2222, 4.4444],
        [   nan,    nan,    nan,  ..., 4.0000, 4.2222, 4.4444],
        ...,
        [   nan,    nan,    nan,  ..., 4.0000, 4.2222, 4.4444],
        [   nan,    nan,    nan,  ..., 4.0000, 4.2222, 4.4444],
        [   nan,    nan,    nan,  ..., 4.0000, 4.2222, 4.4444]],
       device='cuda:0', grad_fn=<ViewBackward0>)
3. Nan in output
tensor([[   nan,    nan,    nan,  ..., 4.0000, 4.2222, 4.4444],
        [   nan,    nan,    nan,  ..., 4.0000, 4.2222, 4.4444],
        [   nan,    nan,    nan,  ..., 4.0000, 4.2222, 4.4444],
        ...,
        [   nan,    nan,    nan,  ..., 4.0000, 4.2222, 4.4444],
        [   nan,    nan,    nan,  ..., 4.0000, 4.2222, 4.4444],
        [   nan,    nan,    nan,  ..., 4.0000, 4.2222, 4.4444]],
       device='cuda:0', grad_fn=<ViewBackward0>)
4. Nan in output
1. Nan in x1_embeddings
5. Nan in embeddings
tensor([[   nan,    nan,    nan,  ..., 4.0000, 4.2222, 4.4444],
        [   nan,    nan,    nan,  ..., 4.0000, 4.2222, 4.4444],
        [   nan,    nan,    nan,  ..., 4.0000, 4.2222, 4.4444],
        ...,
        [   nan,    nan,    nan,  ..., 4.0000, 4.2222, 4.4444],
        [   nan,    nan,    nan,  ..., 4.0000, 4.2222, 4.4444],
        [   nan,    nan,    nan,  ..., 4.0000, 4.2222, 4.4444]],
       device='cuda:0', grad_fn=<ViewBackward0>)
3. Nan in output
tensor([[   nan,    nan,    nan,  ..., 4.0000, 4.2222, 4.4444],
        [   nan,    nan,    nan,  ..., 4.0000, 4.2222, 4.4444],
        [   nan,    nan,    nan,  ..., 4.0000, 4.2222, 4.4444],
        ...,
        [   nan,    nan,    nan,  ..., 4.0000, 4.2222, 4.4444],
        [   nan,    nan,    nan,  ..., 4.0000, 4.2222, 4.4444],
        [   nan,    nan,    nan,  ..., 4.0000, 4.2222, 4.4444]],
       device='cuda:0', grad_fn=<ViewBackward0>)
4. Nan in output
1. Nan in x1_embeddings
5. Nan in embeddings
tensor([[   nan,    nan,    nan,  ..., 4.0000, 4.2222, 4.4444],
        [   nan,    nan,    nan,  ..., 4.0000, 4.2222, 4.4444],
        [   nan,    nan,    nan,  ..., 4.0000, 4.2222, 4.4444],
        ...,
        [   nan,    nan,    nan,  ..., 4.0000, 4.2222, 4.4444],
        [   nan,    nan,    nan,  ..., 4.0000, 4.2222, 4.4444],
        [   nan,    nan,    nan,  ..., 4.0000, 4.2222, 4.4444]],
       device='cuda:0', grad_fn=<ViewBackward0>)
3. Nan in output
tensor([[   nan,    nan,    nan,  ..., 4.0000, 4.2222, 4.4444],
        [   nan,    nan,    nan,  ..., 4.0000, 4.2222, 4.4444],
        [   nan,    nan,    nan,  ..., 4.0000, 4.2222, 4.4444],
        ...,
        [   nan,    nan,    nan,  ..., 4.0000, 4.2222, 4.4444],
        [   nan,    nan,    nan,  ..., 4.0000, 4.2222, 4.4444],
        [   nan,    nan,    nan,  ..., 4.0000, 4.2222, 4.4444]],
       device='cuda:0', grad_fn=<ViewBackward0>)
4. Nan in output
1. Nan in x1_embeddings
5. Nan in embeddings
tensor([[   nan,    nan,    nan,  ..., 4.0000, 4.2222, 4.4444],
        [   nan,    nan,    nan,  ..., 4.0000, 4.2222, 4.4444],
        [   nan,    nan,    nan,  ..., 4.0000, 4.2222, 4.4444],
        ...,
        [   nan,    nan,    nan,  ..., 4.0000, 4.2222, 4.4444],
        [   nan,    nan,    nan,  ..., 4.0000, 4.2222, 4.4444],
        [   nan,    nan,    nan,  ..., 4.0000, 4.2222, 4.4444]],
       device='cuda:0')
3. Nan in output
tensor([[   nan,    nan,    nan,  ..., 4.0000, 4.2222, 4.4444],
        [   nan,    nan,    nan,  ..., 4.0000, 4.2222, 4.4444],
        [   nan,    nan,    nan,  ..., 4.0000, 4.2222, 4.4444],
        ...,
        [   nan,    nan,    nan,  ..., 4.0000, 4.2222, 4.4444],
        [   nan,    nan,    nan,  ..., 4.0000, 4.2222, 4.4444],
        [   nan,    nan,    nan,  ..., 4.0000, 4.2222, 4.4444]],
       device='cuda:0')
4. Nan in output
1. Nan in x1_embeddings
5. Nan in embeddings
tensor([[   nan,    nan,    nan,  ..., 4.0000, 4.2222, 4.4444],
        [   nan,    nan,    nan,  ..., 4.0000, 4.2222, 4.4444],
        [   nan,    nan,    nan,  ..., 4.0000, 4.2222, 4.4444],
        ...,
        [   nan,    nan,    nan,  ..., 4.0000, 4.2222, 4.4444],
        [   nan,    nan,    nan,  ..., 4.0000, 4.2222, 4.4444],
        [   nan,    nan,    nan,  ..., 4.0000, 4.2222, 4.4444]],
       device='cuda:0')
3. Nan in output
tensor([[   nan,    nan,    nan,  ..., 4.0000, 4.2222, 4.4444],
        [   nan,    nan,    nan,  ..., 4.0000, 4.2222, 4.4444],
        [   nan,    nan,    nan,  ..., 4.0000, 4.2222, 4.4444],
        ...,
        [   nan,    nan,    nan,  ..., 4.0000, 4.2222, 4.4444],
        [   nan,    nan,    nan,  ..., 4.0000, 4.2222, 4.4444],
        [   nan,    nan,    nan,  ..., 4.0000, 4.2222, 4.4444]],
       device='cuda:0')
4. Nan in output
1. Nan in x1_embeddings
5. Nan in embeddings
tensor([[   nan,    nan,    nan,  ..., 4.0000, 4.2222, 4.4444],
        [   nan,    nan,    nan,  ..., 4.0000, 4.2222, 4.4444],
        [   nan,    nan,    nan,  ..., 4.0000, 4.2222, 4.4444],
        ...,
        [   nan,    nan,    nan,  ..., 4.0000, 4.2222, 4.4444],
        [   nan,    nan,    nan,  ..., 4.0000, 4.2222, 4.4444],
        [   nan,    nan,    nan,  ..., 4.0000, 4.2222, 4.4444]],
       device='cuda:0')
3. Nan in output
tensor([[   nan,    nan,    nan,  ..., 4.0000, 4.2222, 4.4444],
        [   nan,    nan,    nan,  ..., 4.0000, 4.2222, 4.4444],
        [   nan,    nan,    nan,  ..., 4.0000, 4.2222, 4.4444],
        ...,
        [   nan,    nan,    nan,  ..., 4.0000, 4.2222, 4.4444],
        [   nan,    nan,    nan,  ..., 4.0000, 4.2222, 4.4444],
        [   nan,    nan,    nan,  ..., 4.0000, 4.2222, 4.4444]],
       device='cuda:0')
4. Nan in output
1. Nan in x1_embeddings
5. Nan in embeddings
tensor([[   nan,    nan,    nan,  ..., 4.0000, 4.2222, 4.4444],
        [   nan,    nan,    nan,  ..., 4.0000, 4.2222, 4.4444],
        [   nan,    nan,    nan,  ..., 4.0000, 4.2222, 4.4444],
        ...,
        [   nan,    nan,    nan,  ..., 4.0000, 4.2222, 4.4444],
        [   nan,    nan,    nan,  ..., 4.0000, 4.2222, 4.4444],
        [   nan,    nan,    nan,  ..., 4.0000, 4.2222, 4.4444]],
       device='cuda:0')
3. Nan in output
tensor([[   nan,    nan,    nan,  ..., 4.0000, 4.2222, 4.4444],
        [   nan,    nan,    nan,  ..., 4.0000, 4.2222, 4.4444],
        [   nan,    nan,    nan,  ..., 4.0000, 4.2222, 4.4444],
        ...,
        [   nan,    nan,    nan,  ..., 4.0000, 4.2222, 4.4444],
        [   nan,    nan,    nan,  ..., 4.0000, 4.2222, 4.4444],
        [   nan,    nan,    nan,  ..., 4.0000, 4.2222, 4.4444]],
       device='cuda:0')
4. Nan in output
1. Nan in x1_embeddings
5. Nan in embeddings
tensor([[   nan,    nan,    nan,  ..., 4.0000, 4.2222, 4.4444],
        [   nan,    nan,    nan,  ..., 4.0000, 4.2222, 4.4444],
        [   nan,    nan,    nan,  ..., 4.0000, 4.2222, 4.4444],
        ...,
        [   nan,    nan,    nan,  ..., 4.0000, 4.2222, 4.4444],
        [   nan,    nan,    nan,  ..., 4.0000, 4.2222, 4.4444],
        [   nan,    nan,    nan,  ..., 4.0000, 4.2222, 4.4444]],
       device='cuda:0')
3. Nan in output
tensor([[   nan,    nan,    nan,  ..., 4.0000, 4.2222, 4.4444],
        [   nan,    nan,    nan,  ..., 4.0000, 4.2222, 4.4444],
        [   nan,    nan,    nan,  ..., 4.0000, 4.2222, 4.4444],
        ...,
        [   nan,    nan,    nan,  ..., 4.0000, 4.2222, 4.4444],
        [   nan,    nan,    nan,  ..., 4.0000, 4.2222, 4.4444],
        [   nan,    nan,    nan,  ..., 4.0000, 4.2222, 4.4444]],
       device='cuda:0')
4. Nan in output
1. Nan in x1_embeddings
5. Nan in embeddings
tensor([[   nan,    nan,    nan,  ..., 4.0000, 4.2222, 4.4444],
        [   nan,    nan,    nan,  ..., 4.0000, 4.2222, 4.4444],
        [   nan,    nan,    nan,  ..., 4.0000, 4.2222, 4.4444],
        ...,
        [   nan,    nan,    nan,  ..., 4.0000, 4.2222, 4.4444],
        [   nan,    nan,    nan,  ..., 4.0000, 4.2222, 4.4444],
        [   nan,    nan,    nan,  ..., 4.0000, 4.2222, 4.4444]],
       device='cuda:0')
3. Nan in output
tensor([[   nan,    nan,    nan,  ..., 4.0000, 4.2222, 4.4444],
        [   nan,    nan,    nan,  ..., 4.0000, 4.2222, 4.4444],
        [   nan,    nan,    nan,  ..., 4.0000, 4.2222, 4.4444],
        ...,
        [   nan,    nan,    nan,  ..., 4.0000, 4.2222, 4.4444],
        [   nan,    nan,    nan,  ..., 4.0000, 4.2222, 4.4444],
        [   nan,    nan,    nan,  ..., 4.0000, 4.2222, 4.4444]],
       device='cuda:0')
4. Nan in output
1. Nan in x1_embeddings
5. Nan in embeddings
tensor([[   nan,    nan,    nan,  ..., 4.0000, 4.2222, 4.4444],
        [   nan,    nan,    nan,  ..., 4.0000, 4.2222, 4.4444],
        [   nan,    nan,    nan,  ..., 4.0000, 4.2222, 4.4444],
        ...,
        [   nan,    nan,    nan,  ..., 4.0000, 4.2222, 4.4444],
        [   nan,    nan,    nan,  ..., 4.0000, 4.2222, 4.4444],
        [   nan,    nan,    nan,  ..., 4.0000, 4.2222, 4.4444]],
       device='cuda:0')
3. Nan in output
tensor([[   nan,    nan,    nan,  ..., 4.0000, 4.2222, 4.4444],
        [   nan,    nan,    nan,  ..., 4.0000, 4.2222, 4.4444],
        [   nan,    nan,    nan,  ..., 4.0000, 4.2222, 4.4444],
        ...,
        [   nan,    nan,    nan,  ..., 4.0000, 4.2222, 4.4444],
        [   nan,    nan,    nan,  ..., 4.0000, 4.2222, 4.4444],
        [   nan,    nan,    nan,  ..., 4.0000, 4.2222, 4.4444]],
       device='cuda:0')
4. Nan in output
1. Nan in x1_embeddings
5. Nan in embeddings
tensor([[   nan,    nan,    nan,  ..., 4.0000, 4.2222, 4.4444],
        [   nan,    nan,    nan,  ..., 4.0000, 4.2222, 4.4444],
        [   nan,    nan,    nan,  ..., 4.0000, 4.2222, 4.4444],
        ...,
        [   nan,    nan,    nan,  ..., 4.0000, 4.2222, 4.4444],
        [   nan,    nan,    nan,  ..., 4.0000, 4.2222, 4.4444],
        [   nan,    nan,    nan,  ..., 4.0000, 4.2222, 4.4444]],
       device='cuda:0')
3. Nan in output
tensor([[   nan,    nan,    nan,  ..., 4.0000, 4.2222, 4.4444],
        [   nan,    nan,    nan,  ..., 4.0000, 4.2222, 4.4444],
        [   nan,    nan,    nan,  ..., 4.0000, 4.2222, 4.4444],
        ...,
        [   nan,    nan,    nan,  ..., 4.0000, 4.2222, 4.4444],
