Wed 25 Dec 2024 10:11:03 IST

SLURM_JOBID:		 2098572
             	SED dist: 8178.973721590909		 Val SED dist: 6901.06953125

Epoch 7/65000: Training Loss: 3992.5461647727275		 Val Loss: 3032.649609375
             	Training MAE: 0.3279753029346466		 Val MAE: 0.3272499442100525
             	Algebraic dist: 167.8179043856534		 Val Algebraic dist: 105.504638671875
             	RE1 dist: 25609.409090909092		 Val RE1 dist: 12659.790625
             	SED dist: 7984.058238636364		 Val SED dist: 6064.26484375

Epoch 8/65000: Training Loss: 3588.716974431818		 Val Loss: 3025.766015625
             	Training MAE: 0.3271021544933319		 Val MAE: 0.32789427042007446
             	Algebraic dist: 121.03910688920455		 Val Algebraic dist: 71.76725463867187
             	RE1 dist: 15380.64346590909		 Val RE1 dist: 5826.22890625
             	SED dist: 7176.402698863636		 Val SED dist: 6050.507421875

Epoch 9/65000: Training Loss: 3509.6899857954545		 Val Loss: 2418.975
             	Training MAE: 0.3268641531467438		 Val MAE: 0.3277749717235565
             	Algebraic dist: 89.81933038884944		 Val Algebraic dist: 44.62758178710938
             	RE1 dist: 8992.194602272728		 Val RE1 dist: 2732.05234375
             	SED dist: 7018.353693181818		 Val SED dist: 4836.928125

Epoch 10/65000: Training Loss: 2998.3100142045455		 Val Loss: 2235.2689453125
             	Training MAE: 0.3276876211166382		 Val MAE: 0.32884377241134644
             	Algebraic dist: 56.90000221946023		 Val Algebraic dist: 35.231973266601564
             	RE1 dist: 3886.5102982954545		 Val RE1 dist: 1736.933984375
             	SED dist: 5995.605823863636		 Val SED dist: 4469.536328125

Epoch 11/65000: Training Loss: 2765.064630681818		 Val Loss: 2021.4302734375
             	Training MAE: 0.3286091983318329		 Val MAE: 0.32882246375083923
             	Algebraic dist: 43.32489568536932		 Val Algebraic dist: 26.133197021484374
             	RE1 dist: 2318.160333806818		 Val RE1 dist: 860.93662109375
             	SED dist: 5529.140269886364		 Val SED dist: 4041.88828125

Epoch 12/65000: Training Loss: 2696.4055397727275		 Val Loss: 1970.6892578125
             	Training MAE: 0.32771486043930054		 Val MAE: 0.32825297117233276
             	Algebraic dist: 38.07219349254262		 Val Algebraic dist: 25.836898803710938
             	RE1 dist: 1721.8636363636363		 Val RE1 dist: 834.1205078125
             	SED dist: 5391.845170454545		 Val SED dist: 3940.419140625

Epoch 13/65000: Training Loss: 2105.5491832386365		 Val Loss: 2304.801171875
             	Training MAE: 0.3283155560493469		 Val MAE: 0.3299638628959656
             	Algebraic dist: 28.27663907137784		 Val Algebraic dist: 20.588478088378906
             	RE1 dist: 1052.1344105113637		 Val RE1 dist: 560.474267578125
             	SED dist: 4210.151278409091		 Val SED dist: 4608.655078125

Epoch 14/65000: Training Loss: 2382.348721590909		 Val Loss: 1544.3751953125
             	Training MAE: 0.33087581396102905		 Val MAE: 0.33227285742759705
             	Algebraic dist: 23.225763494318183		 Val Algebraic dist: 19.19095458984375
             	RE1 dist: 754.1544744318181		 Val RE1 dist: 577.4470703125
             	SED dist: 4763.743607954545		 Val SED dist: 3087.784375

Epoch 15/65000: Training Loss: 2027.630859375		 Val Loss: 2190.940625
             	Training MAE: 0.33199378848075867		 Val MAE: 0.32876908779144287
             	Algebraic dist: 27.14176524769176		 Val Algebraic dist: 20.325410461425783
             	RE1 dist: 1131.1463068181818		 Val RE1 dist: 552.541943359375
             	SED dist: 4054.2975852272725		 Val SED dist: 4380.913671875

Epoch 16/65000: Training Loss: 2971.7759232954545		 Val Loss: 2493.6001953125
             	Training MAE: 0.3279958665370941		 Val MAE: 0.3266707956790924
             	Algebraic dist: 50.24227627840909		 Val Algebraic dist: 28.955325317382812
             	RE1 dist: 3235.7279829545455		 Val RE1 dist: 1125.3396484375
             	SED dist: 5942.594815340909		 Val SED dist: 4986.236328125

Epoch 17/65000: Training Loss: 3321.6530539772725		 Val Loss: 2746.2525390625
             	Training MAE: 0.3272603452205658		 Val MAE: 0.3273473381996155
             	Algebraic dist: 53.20012318004262		 Val Algebraic dist: 36.283078002929685
             	RE1 dist: 3543.388849431818		 Val RE1 dist: 1546.8166015625
             	SED dist: 6642.348011363636		 Val SED dist: 5491.552734375

Epoch 18/65000: Training Loss: 2876.7826704545455		 Val Loss: 1850.7421875
             	Training MAE: 0.32736337184906006		 Val MAE: 0.32799631357192993
             	Algebraic dist: 44.23769309303977		 Val Algebraic dist: 29.92279052734375
             	RE1 dist: 2353.5893110795455		 Val RE1 dist: 975.48369140625
             	SED dist: 5752.622869318182		 Val SED dist: 3700.549609375

Epoch 19/65000: Training Loss: 2031.3948863636363		 Val Loss: 1084.4814453125
             	Training MAE: 0.32712918519973755		 Val MAE: 0.32706135511398315
             	Algebraic dist: 30.083018909801137		 Val Algebraic dist: 25.1541748046875
             	RE1 dist: 1101.8874289772727		 Val RE1 dist: 674.665673828125
             	SED dist: 4061.8671875		 Val SED dist: 2168.051953125

Epoch 20/65000: Training Loss: 1193.9611150568182		 Val Loss: 858.18115234375
             	Training MAE: 0.32496774196624756		 Val MAE: 0.3256244659423828
             	Algebraic dist: 23.24338739568537		 Val Algebraic dist: 30.921817016601562
             	RE1 dist: 705.8223544034091		 Val RE1 dist: 1049.08662109375
             	SED dist: 2387.0250355113635		 Val SED dist: 1715.4693359375

Epoch 21/65000: Training Loss: 906.0772372159091		 Val Loss: 596.123779296875
             	Training MAE: 0.32561740279197693		 Val MAE: 0.3284909725189209
             	Algebraic dist: 23.973419189453125		 Val Algebraic dist: 25.680953979492188
             	RE1 dist: 685.7591441761364		 Val RE1 dist: 866.67001953125
             	SED dist: 1811.2503551136363		 Val SED dist: 1191.31884765625

Epoch 22/65000: Training Loss: 545.4543678977273		 Val Loss: 289.8618896484375
             	Training MAE: 0.3276190757751465		 Val MAE: 0.32812321186065674
             	Algebraic dist: 18.6700175892223		 Val Algebraic dist: 17.72895202636719
             	RE1 dist: 464.41623757102275		 Val RE1 dist: 530.04287109375
             	SED dist: 1089.9654651988637		 Val SED dist: 578.759765625

Epoch 23/65000: Training Loss: 326.0531560724432		 Val Loss: 146.745361328125
             	Training MAE: 0.3254491686820984		 Val MAE: 0.3238327205181122
             	Algebraic dist: 18.10763272372159		 Val Algebraic dist: 16.16356658935547
             	RE1 dist: 416.31298828125		 Val RE1 dist: 320.727392578125
             	SED dist: 651.1326349431819		 Val SED dist: 292.5018798828125

Epoch 24/65000: Training Loss: 167.1256658380682		 Val Loss: 81.4484130859375
             	Training MAE: 0.3212622106075287		 Val MAE: 0.3215905725955963
             	Algebraic dist: 17.816400701349433		 Val Algebraic dist: 15.49345703125
             	RE1 dist: 364.7547496448864		 Val RE1 dist: 254.0620361328125
             	SED dist: 333.25490500710225		 Val SED dist: 161.88857421875

Epoch 25/65000: Training Loss: 80.6660322709517		 Val Loss: 43.309814453125
             	Training MAE: 0.32249608635902405		 Val MAE: 0.3246019184589386
             	Algebraic dist: 18.851606889204547		 Val Algebraic dist: 19.899905395507812
             	RE1 dist: 396.1262872869318		 Val RE1 dist: 573.13955078125
             	SED dist: 160.31737171519887		 Val SED dist: 85.59729614257813

Epoch 26/65000: Training Loss: 39.62069979580966		 Val Loss: 28.95372314453125
             	Training MAE: 0.32530897855758667		 Val MAE: 0.32709190249443054
             	Algebraic dist: 19.20781083540483		 Val Algebraic dist: 20.90925750732422
             	RE1 dist: 467.82954545454544		 Val RE1 dist: 486.826318359375
             	SED dist: 78.2173018022017		 Val SED dist: 56.88130493164063

Epoch 27/65000: Training Loss: 27.12016435102983		 Val Loss: 22.889723205566405
             	Training MAE: 0.3269472122192383		 Val MAE: 0.32854536175727844
             	Algebraic dist: 18.248395052823152		 Val Algebraic dist: 21.27509307861328
             	RE1 dist: 441.36825284090907		 Val RE1 dist: 573.90625
             	SED dist: 53.2160810990767		 Val SED dist: 44.75990600585938

Epoch 28/65000: Training Loss: 17.22096807306463		 Val Loss: 15.976162719726563
             	Training MAE: 0.32815787196159363		 Val MAE: 0.3295893371105194
             	Algebraic dist: 17.780215176669035		 Val Algebraic dist: 21.883206176757813
             	RE1 dist: 402.01717862215907		 Val RE1 dist: 514.793603515625
             	SED dist: 33.43147693980824		 Val SED dist: 30.953912353515626

Epoch 29/65000: Training Loss: 10.858943592418324		 Val Loss: 10.839762878417968
             	Training MAE: 0.32857975363731384		 Val MAE: 0.33025363087654114
             	Algebraic dist: 17.18390031294389		 Val Algebraic dist: 22.285736083984375
             	RE1 dist: 361.2810724431818		 Val RE1 dist: 513.599755859375
             	SED dist: 20.727555708451703		 Val SED dist: 20.699896240234374

Epoch 30/65000: Training Loss: 8.13591142134233		 Val Loss: 9.231010437011719
             	Training MAE: 0.32917970418930054		 Val MAE: 0.333143413066864
             	Algebraic dist: 18.553110296075996		 Val Algebraic dist: 24.848233032226563
             	RE1 dist: 446.42373934659093		 Val RE1 dist: 600.195263671875
             	SED dist: 15.304663918235086		 Val SED dist: 17.511189270019532

Epoch 31/65000: Training Loss: 6.628218217329546		 Val Loss: 8.530785369873048
             	Training MAE: 0.3334845304489136		 Val MAE: 0.34047797322273254
             	Algebraic dist: 20.090058760209516		 Val Algebraic dist: 30.77408447265625
             	RE1 dist: 439.1207830255682		 Val RE1 dist: 979.50849609375
             	SED dist: 12.319491299715908		 Val SED dist: 16.144964599609374

Epoch 32/65000: Training Loss: 6.213721535422585		 Val Loss: 6.490560913085938
             	Training MAE: 0.33845826983451843		 Val MAE: 0.3443223536014557
             	Algebraic dist: 27.739146839488637		 Val Algebraic dist: 34.41133422851563
             	RE1 dist: 869.5131392045455		 Val RE1 dist: 1106.578125
             	SED dist: 11.517823652787643		 Val SED dist: 12.091136932373047

Epoch 33/65000: Training Loss: 5.298861416903409		 Val Loss: 5.0434928894042965
             	Training MAE: 0.34053969383239746		 Val MAE: 0.34541210532188416
             	Algebraic dist: 27.20596036044034		 Val Algebraic dist: 31.3831298828125
             	RE1 dist: 872.9830433238636		 Val RE1 dist: 995.4126953125
             	SED dist: 9.714623884721236		 Val SED dist: 9.222161865234375

Epoch 34/65000: Training Loss: 4.449930364435369		 Val Loss: 5.093218231201172
             	Training MAE: 0.3426170349121094		 Val MAE: 0.34709057211875916
             	Algebraic dist: 27.98984042080966		 Val Algebraic dist: 37.551611328125
             	RE1 dist: 913.9330610795455		 Val RE1 dist: 1585.286328125
             	SED dist: 8.033364729447799		 Val SED dist: 9.327734375

Epoch 35/65000: Training Loss: 4.200277155095881		 Val Loss: 5.617188262939453
             	Training MAE: 0.34435537457466125		 Val MAE: 0.3493407964706421
             	Algebraic dist: 28.891468394886363		 Val Algebraic dist: 40.43595581054687
             	RE1 dist: 1019.4856178977273		 Val RE1 dist: 1779.525
             	SED dist: 7.535806829279119		 Val SED dist: 10.376863098144531

Epoch 36/65000: Training Loss: 3.9681500521573154		 Val Loss: 4.833457565307617
             	Training MAE: 0.34719520807266235		 Val MAE: 0.3510490953922272
             	Algebraic dist: 30.787497780539773		 Val Algebraic dist: 40.987481689453126
             	RE1 dist: 1108.2931463068182		 Val RE1 dist: 1733.8546875
             	SED dist: 7.0714243108576		 Val SED dist: 8.811670684814453

Epoch 37/65000: Training Loss: 3.898794347589666		 Val Loss: 4.954981994628906
             	Training MAE: 0.3486500382423401		 Val MAE: 0.3536074459552765
             	Algebraic dist: 33.734705144708805		 Val Algebraic dist: 44.366748046875
             	RE1 dist: 1355.1574928977273		 Val RE1 dist: 2124.59921875
             	SED dist: 6.939686861905185		 Val SED dist: 9.066407775878906

Epoch 38/65000: Training Loss: 3.4955822337757456		 Val Loss: 4.313941574096679
             	Training MAE: 0.35085099935531616		 Val MAE: 0.3562297523021698
             	Algebraic dist: 34.297271728515625		 Val Algebraic dist: 43.690057373046876
             	RE1 dist: 1330.413973721591		 Val RE1 dist: 1807.4384765625
             	SED dist: 6.146759726784446		 Val SED dist: 7.788215637207031

Epoch 39/65000: Training Loss: 3.6391372680664062		 Val Loss: 4.645819473266601
             	Training MAE: 0.35328948497772217		 Val MAE: 0.35969388484954834
             	Algebraic dist: 37.15679376775568		 Val Algebraic dist: 51.042239379882815
             	RE1 dist: 1768.2856889204545		 Val RE1 dist: 2297.012890625
             	SED dist: 6.4297873757102275		 Val SED dist: 8.449708557128906

Epoch 40/65000: Training Loss: 3.6778495094992896		 Val Loss: 4.025242614746094
             	Training MAE: 0.355808824300766		 Val MAE: 0.3610721528530121
             	Algebraic dist: 43.22643210671165		 Val Algebraic dist: 51.30513916015625
             	RE1 dist: 2254.016690340909		 Val RE1 dist: 2399.2404296875
             	SED dist: 6.516521800648082		 Val SED dist: 7.2253257751464846

Epoch 41/65000: Training Loss: 3.2868530967018823		 Val Loss: 4.271657562255859
             	Training MAE: 0.3567364513874054		 Val MAE: 0.36157384514808655
             	Algebraic dist: 41.21380615234375		 Val Algebraic dist: 55.464794921875
             	RE1 dist: 1962.8410866477273		 Val RE1 dist: 3474.7484375
             	SED dist: 5.751123601740057		 Val SED dist: 7.736982727050782

Epoch 42/65000: Training Loss: 3.072174072265625		 Val Loss: 3.631589889526367
             	Training MAE: 0.35796281695365906		 Val MAE: 0.3652346432209015
             	Algebraic dist: 41.96924382990057		 Val Algebraic dist: 53.882537841796875
             	RE1 dist: 2187.2347301136365		 Val RE1 dist: 2979.1505859375
             	SED dist: 5.341507998379794		 Val SED dist: 6.466328430175781

Epoch 43/65000: Training Loss: 2.9436635104092685		 Val Loss: 3.4661113739013674
             	Training MAE: 0.3629958927631378		 Val MAE: 0.3702796399593353
             	Algebraic dist: 47.03253173828125		 Val Algebraic dist: 65.18119506835937
             	RE1 dist: 2451.257634943182		 Val RE1 dist: 4171.4515625
             	SED dist: 5.07993559403853		 Val SED dist: 6.145337295532227

Epoch 44/65000: Training Loss: 3.2262455333362925		 Val Loss: 3.4182273864746096
             	Training MAE: 0.3623683452606201		 Val MAE: 0.3661939203739166
             	Algebraic dist: 53.51733953302557		 Val Algebraic dist: 66.50827026367188
             	RE1 dist: 3074.1683238636365		 Val RE1 dist: 4367.18359375
             	SED dist: 5.684607419100675		 Val SED dist: 6.101298522949219

Epoch 45/65000: Training Loss: 2.747181632302024		 Val Loss: 2.803736114501953
             	Training MAE: 0.36283594369888306		 Val MAE: 0.36926767230033875
             	Algebraic dist: 57.04503284801137		 Val Algebraic dist: 64.37379150390625
             	RE1 dist: 3737.5699573863635		 Val RE1 dist: 4165.199609375
             	SED dist: 4.760271939364347		 Val SED dist: 4.897922515869141

Epoch 46/65000: Training Loss: 2.7246745716441763		 Val Loss: 3.8086479187011717
             	Training MAE: 0.3576350808143616		 Val MAE: 0.35932376980781555
             	Algebraic dist: 67.95788019353694		 Val Algebraic dist: 94.98624267578126
             	RE1 dist: 5496.693892045455		 Val RE1 dist: 8264.315625
             	SED dist: 4.780228701504794		 Val SED dist: 7.008951568603516

Epoch 47/65000: Training Loss: 3.4915043223987925		 Val Loss: 2.761128234863281
             	Training MAE: 0.34515872597694397		 Val MAE: 0.34478169679641724
             	Algebraic dist: 86.6100741299716		 Val Algebraic dist: 83.18487548828125
             	RE1 dist: 7535.511363636364		 Val RE1 dist: 7437.85
             	SED dist: 6.380610379305753		 Val SED dist: 4.976487731933593

Epoch 48/65000: Training Loss: 2.7595421184193003		 Val Loss: 3.2469215393066406
             	Training MAE: 0.33839377760887146		 Val MAE: 0.3422289490699768
             	Algebraic dist: 77.39161265980114		 Val Algebraic dist: 96.59236450195313
             	RE1 dist: 5902.427556818182		 Val RE1 dist: 11576.7921875
             	SED dist: 4.945585077459162		 Val SED dist: 5.956876754760742

Epoch 49/65000: Training Loss: 2.749668988314542		 Val Loss: 3.67135009765625
             	Training MAE: 0.33451148867607117		 Val MAE: 0.3402629792690277
             	Algebraic dist: 88.24204323508523		 Val Algebraic dist: 116.3425537109375
             	RE1 dist: 8493.27840909091		 Val RE1 dist: 18713.2234375
             	SED dist: 4.936396512118253		 Val SED dist: 6.816856384277344

Epoch 50/65000: Training Loss: 3.0303736600008877		 Val Loss: 2.858071517944336
             	Training MAE: 0.3284972310066223		 Val MAE: 0.3356141149997711
             	Algebraic dist: 97.1347323330966		 Val Algebraic dist: 99.81241455078126
             	RE1 dist: 10365.0390625		 Val RE1 dist: 9833.60234375
             	SED dist: 5.5173117897727275		 Val SED dist: 5.202824401855469

Epoch 51/65000: Training Loss: 3.0195687033913354		 Val Loss: 3.080097961425781
             	Training MAE: 0.3214123845100403		 Val MAE: 0.319254606962204
             	Algebraic dist: 102.86143909801136		 Val Algebraic dist: 110.62882080078126
             	RE1 dist: 12928.974431818182		 Val RE1 dist: 11729.528125
             	SED dist: 5.514012423428622		 Val SED dist: 5.692434692382813

Epoch 52/65000: Training Loss: 2.468282526189631		 Val Loss: 2.7402814865112304
             	Training MAE: 0.306337833404541		 Val MAE: 0.28955018520355225
             	Algebraic dist: 85.84247935901989		 Val Algebraic dist: 99.50795288085938
             	RE1 dist: 7910.884943181818		 Val RE1 dist: 10249.9828125
             	SED dist: 4.4598399075594815		 Val SED dist: 5.093359756469726

Epoch 53/65000: Training Loss: 2.6689430583607066		 Val Loss: 2.813047409057617
             	Training MAE: 0.28870683908462524		 Val MAE: 0.27108797430992126
             	Algebraic dist: 95.7309237393466		 Val Algebraic dist: 99.1418212890625
             	RE1 dist: 10467.90340909091		 Val RE1 dist: 10376.99765625
             	SED dist: 4.926694696599787		 Val SED dist: 5.262481307983398

Epoch 54/65000: Training Loss: 2.4139787500554863		 Val Loss: 2.7960182189941407
             	Training MAE: 0.28327029943466187		 Val MAE: 0.25949564576148987
             	Algebraic dist: 82.46924382990056		 Val Algebraic dist: 99.86622314453125
             	RE1 dist: 7042.247159090909		 Val RE1 dist: 9933.890625
             	SED dist: 4.423005537553267		 Val SED dist: 5.244706344604492

Epoch 55/65000: Training Loss: 2.585044167258523		 Val Loss: 2.702642822265625
             	Training MAE: 0.2738339900970459		 Val MAE: 0.24668358266353607
             	Algebraic dist: 93.14127974076705		 Val Algebraic dist: 97.20001220703125
             	RE1 dist: 10790.1796875		 Val RE1 dist: 11175.9890625
             	SED dist: 4.769975835626775		 Val SED dist: 5.078123092651367

Epoch 56/65000: Training Loss: 2.501604426990856		 Val Loss: 2.163319396972656
             	Training MAE: 0.2735128104686737		 Val MAE: 0.2546462416648865
             	Algebraic dist: 90.95444557883523		 Val Algebraic dist: 85.96341552734376
             	RE1 dist: 8522.034801136364		 Val RE1 dist: 9175.97421875
             	SED dist: 4.606029510498047		 Val SED dist: 3.9986808776855467

Epoch 57/65000: Training Loss: 2.4150012623180044		 Val Loss: 3.235503005981445
             	Training MAE: 0.26286008954048157		 Val MAE: 0.25919145345687866
             	Algebraic dist: 86.01237903941761		 Val Algebraic dist: 112.88731689453125
             	RE1 dist: 7754.267755681818		 Val RE1 dist: 11968.94296875
             	SED dist: 4.462913513183594		 Val SED dist: 6.124714660644531

Epoch 58/65000: Training Loss: 2.2581254785711113		 Val Loss: 2.3369388580322266
             	Training MAE: 0.25506392121315		 Val MAE: 0.22070837020874023
             	Algebraic dist: 84.33451149680398		 Val Algebraic dist: 84.6066650390625
             	RE1 dist: 7599.183238636364		 Val RE1 dist: 8448.85546875
             	SED dist: 4.156091169877485		 Val SED dist: 4.386985015869141

Epoch 59/65000: Training Loss: 1.9915544336492366		 Val Loss: 2.3246509552001955
             	Training MAE: 0.25040918588638306		 Val MAE: 0.2189825177192688
             	Algebraic dist: 78.16234241832386		 Val Algebraic dist: 83.481201171875
             	RE1 dist: 6218.805397727273		 Val RE1 dist: 9335.92890625
             	SED dist: 3.630939483642578		 Val SED dist: 4.373262023925781

Epoch 60/65000: Training Loss: 2.3351951945911753		 Val Loss: 2.597771644592285
             	Training MAE: 0.24341575801372528		 Val MAE: 0.21532273292541504
             	Algebraic dist: 84.36950128728694		 Val Algebraic dist: 90.92874755859376
             	RE1 dist: 7736.545454545455		 Val RE1 dist: 10548.4390625
             	SED dist: 4.340862967751243		 Val SED dist: 4.922168350219726

Epoch 61/65000: Training Loss: 2.275061694058505		 Val Loss: 2.3348390579223635
             	Training MAE: 0.24248188734054565		 Val MAE: 0.22044886648654938
             	Algebraic dist: 83.56479159268466		 Val Algebraic dist: 85.2127685546875
             	RE1 dist: 7471.147017045455		 Val RE1 dist: 8371.6453125
             	SED dist: 4.21472826871005		 Val SED dist: 4.387797164916992

Epoch 62/65000: Training Loss: 2.238618330522017		 Val Loss: 2.443302345275879
             	Training MAE: 0.2390604317188263		 Val MAE: 0.21999120712280273
             	Algebraic dist: 82.3923173384233		 Val Algebraic dist: 87.37959594726563
             	RE1 dist: 7393.247159090909		 Val RE1 dist: 9276.37578125
             	SED dist: 4.155112179842862		 Val SED dist: 4.60745849609375

Epoch 63/65000: Training Loss: 2.274147727272727		 Val Loss: 2.0763200759887694
             	Training MAE: 0.2438429296016693		 Val MAE: 0.2142014056444168
             	Algebraic dist: 86.92913263494319		 Val Algebraic dist: 75.37110595703125
             	RE1 dist: 7927.006392045455		 Val RE1 dist: 7037.46328125
             	SED dist: 4.216094970703125		 Val SED dist: 3.8862640380859377

Epoch 64/65000: Training Loss: 2.4033036665482954		 Val Loss: 2.7020055770874025
             	Training MAE: 0.24826720356941223		 Val MAE: 0.22533293068408966
             	Algebraic dist: 84.37286376953125		 Val Algebraic dist: 100.42450561523438
             	RE1 dist: 7783.026988636364		 Val RE1 dist: 11993.96484375
             	SED dist: 4.463402488014915		 Val SED dist: 5.105006408691406

Epoch 65/65000: Training Loss: 2.6055755615234375		 Val Loss: 2.349882888793945
             	Training MAE: 0.24772918224334717		 Val MAE: 0.2164631485939026
             	Algebraic dist: 90.66696444424716		 Val Algebraic dist: 84.5300537109375
             	RE1 dist: 9447.787642045454		 Val RE1 dist: 9015.43046875
             	SED dist: 4.860098405317827		 Val SED dist: 4.430553436279297

Epoch 66/65000: Training Loss: 2.184254386208274		 Val Loss: 2.9657419204711912
             	Training MAE: 0.24366594851016998		 Val MAE: 0.21960218250751495
             	Algebraic dist: 79.9210205078125		 Val Algebraic dist: 92.99764404296874
             	RE1 dist: 6848.262784090909		 Val RE1 dist: 9535.5765625
             	SED dist: 4.043004816228693		 Val SED dist: 5.655947875976563

Epoch 67/65000: Training Loss: 2.1069552681662818		 Val Loss: 2.0813224792480467
             	Training MAE: 0.24245263636112213		 Val MAE: 0.20558716356754303
             	Algebraic dist: 80.14033647017045		 Val Algebraic dist: 75.75802001953124
             	RE1 dist: 6882.647017045455		 Val RE1 dist: 7408.4421875
             	SED dist: 3.88315166126598		 Val SED dist: 3.903564453125

Epoch 68/65000: Training Loss: 2.594961339777166		 Val Loss: 2.2285566329956055
             	Training MAE: 0.23441457748413086		 Val MAE: 0.20111000537872314
             	Algebraic dist: 87.90884121981534		 Val Algebraic dist: 76.7541748046875
             	RE1 dist: 7585.761363636364		 Val RE1 dist: 7310.83671875
             	SED dist: 4.872136896306818		 Val SED dist: 4.210844421386719

Epoch 69/65000: Training Loss: 2.37129731611772		 Val Loss: 2.211970329284668
             	Training MAE: 0.22947277128696442		 Val MAE: 0.20357172191143036
             	Algebraic dist: 76.9616366299716		 Val Algebraic dist: 76.5455078125
             	RE1 dist: 6326.435369318182		 Val RE1 dist: 6571.44140625
             	SED dist: 4.441095872358843		 Val SED dist: 4.173673248291015

Epoch 70/65000: Training Loss: 2.2405372966419566		 Val Loss: 2.394160270690918
             	Training MAE: 0.2265823781490326		 Val MAE: 0.2066926807165146
             	Algebraic dist: 77.29412286931819		 Val Algebraic dist: 78.28964233398438
             	RE1 dist: 5965.157670454545		 Val RE1 dist: 6732.43671875
             	SED dist: 4.189366080544212		 Val SED dist: 4.536721038818359

Epoch 71/65000: Training Loss: 1.9867645610462537		 Val Loss: 2.341400909423828
             	Training MAE: 0.23111696541309357		 Val MAE: 0.2053316980600357
